coin,coin_name,coin_symbol
bitcoin,Bitcoin,BTC
ethereum,Ethereum,ETH
ripple,Ripple,XRP
bitcoin-cash,Bitcoin Cash,BCH
eos,EOS,EOS
litecoin,Litecoin,LTC
cardano,Cardano,ADA
stellar,Stellar,XLM
iota,IOTA,MIOTA
neo,NEO,NEO
monero,Monero,XMR
dash,Dash,DASH
tron,TRON,TRX
nem,NEM,XEM
tether,Tether,USDT
ethereum-classic,Ethereum Classic,ETC
vechain,VeChain,VEN
qtum,Qtum,QTUM
omisego,OmiseGO,OMG
binance-coin,Binance Coin,BNB
icon,ICON,ICX
bitcoin-gold,Bitcoin Gold,BTG
lisk,Lisk,LSK
bitcoin-private,Bitcoin Private,BTCP
zcash,Zcash,ZEC
bytom,Bytom,BTM
nano,Nano,NANO
verge,Verge,XVG
bytecoin-bcn,Bytecoin,BCN
populous,Populous,PPT
steem,Steem,STEEM
bitshares,BitShares,BTS
wanchain,Wanchain,WAN
siacoin,Siacoin,SC
bitcoin-diamond,Bitcoin Diamond,BCD
zilliqa,Zilliqa,ZIL
dogecoin,Dogecoin,DOGE
stratis,Stratis,STRAT
maker,Maker,MKR
digixdao,DigixDAO,DGD
aeternity,Aeternity,AE
waves,Waves,WAVES
status,Status,SNT
0x,0x,ZRX
aion,Aion,AION
rchain,RChain,RHOC
golem-network-tokens,Golem,GNT
ontology,Ontology,ONT
augur,Augur,REP
decred,Decred,DCR
loopring,Loopring,LRC
basic-attention-token,Basic Attention Token,BAT
waltonchain,Waltonchain,WTC
iostoken,IOStoken,IOST
komodo,Komodo,KMD
mixin,Mixin,XIN
ardor,Ardor,ARDR
hshare,Hshare,HSR
kucoin-shares,KuCoin Shares,KCS
digibyte,DigiByte,DGB
ark,Ark,ARK
centrality,Centrality,CENNZ
pivx,PIVX,PIVX
dragonchain,Dragonchain,DRGN
mithril,Mithril,MITH
gas,Gas,GAS
aelf,aelf,ELF
cryptonex,Cryptonex,CNX
dentacoin,Dentacoin,DCN
substratum,Substratum,SUB
syscoin,Syscoin,SYS
qash,QASH,QASH
factom,Factom,FCT
pundi-x,Pundi X,NPXS
kyber-network,Kyber Network,KNC
veritaseum,Veritaseum,VERI
ethos,Ethos,ETHOS
monacoin,MonaCoin,MONA
funfair,FunFair,FUN
storm,Storm,STORM
elastos,Elastos,ELA
nebulas-token,Nebulas,NAS
bancor,Bancor,BNT
reddcoin,ReddCoin,RDD
gxchain,GXChain,GXS
wax,WAX,WAX
zcoin,ZCoin,XZC
revain,Revain,R
salt,SALT,SALT
nxt,Nxt,NXT
kin,Kin,KIN
monaco,Monaco,MCO
power-ledger,Power Ledger,POWR
enigma-project,Enigma,ENG
byteball,Byteball Bytes,GBYTE
tenx,TenX,PAY
chainlink,ChainLink,LINK
nucleus-vision,Nucleus Vision,NCASH
maidsafecoin,MaidSafeCoin,MAID
neblio,Neblio,NEBL
smartcash,SmartCash,SMART
request-network,Request Network,REQ
storj,Storj,STORJ
electroneum,Electroneum,ETN
cindicator,Cindicator,CND
skycoin,Skycoin,SKY
achain,Achain,ACT
decentraland,Decentraland,MANA
fusion,Fusion,FSN
matrix-ai-network,Matrix AI Network,MAN
iconomi,Iconomi,ICN
particl,Particl,PART
smartmesh,SmartMesh,SMT
emercoin,Emercoin,EMC
civic,Civic,CVC
deepbrain-chain,DeepBrain Chain,DBC
cortex,Cortex,CTXC
dent,Dent,DENT
loom-network,Loom Network,LOOM
nexus,Nexus,NXS
boscoin,BOScoin,BOS
zencash,ZenCash,ZEN
tokenpay,TokenPay,TPAY
bitcore,Bitcore,BTX
quantstamp,Quantstamp,QSP
nuls,Nuls,NULS
polymath-network,Polymath,POLY
poet,Po.et,POE
santiment,Santiment Network Token,SAN
gifto,Gifto,GTO
paypex,Paypex,PAYX
gnosis-gno,Gnosis,GNO
poa-network,POA Network,POA
singularitynet,SingularityNET,AGI
rlc,iExec RLC,RLC
gamecredits,GameCredits,GAME
vertcoin,Vertcoin,VTC
time-new-bank,Time New Bank,TNB
metal,Metal,MTL
arcblock,Arcblock,ABT
bitcoindark,BitcoinDark,BTCD
enjin-coin,Enjin Coin,ENJ
high-performance-blockchain,High Performance Blockchain,HPB
aragon,Aragon,ANT
paypie,PayPie,PPP
game,Game.com,GTC
groestlcoin,Groestlcoin,GRS
raiden-network-token,Raiden Network Token,RDN
cybermiles,CyberMiles,CMT
dynamic-trading-rights,Dynamic Trading Rights,DTR
blocknet,Blocknet,BLOCK
ubiq,Ubiq,UBQ
genaro-network,Genaro Network,GNX
data,DATA,DTA
greencoin,Greencoin,GRE
credits,Credits,CS
dew,DEW,DEW
digitalnote,DigitalNote,XDN
cube,Cube,AUTO
medibloc,MediBloc,MED
litecoin-cash,Litecoin Cash,LCC
bluzelle,Bluzelle,BLZ
blockv,BLOCKv,VEE
red-pulse,Red Pulse,RPX
theta-token,Theta Token,THETA
sophiatx,SophiaTX,SPHTX
ruff,Ruff,RUFF
nav-coin,NavCoin,NAV
sirin-labs-token,SIRIN LABS Token,SRN
amber,Ambrosus,AMB
genesis-vision,Genesis Vision,GVT
apex,Apex,CPX
ignis,Ignis,IGNIS
airswap,AirSwap,AST
thekey,THEKEY,TKY
ethlend,ETHLend,LEND
pillar,Pillar,PLR
scryinfo,Scry.info,DDD
streamr-datacoin,Streamr DATAcoin,DATA
ost,OST,OST
sonm,SONM,SNM
bitbay,BitBay,BAY
iot-chain,IoT Chain,ITC
ink,Ink,INK
ripio-credit-network,Ripio Credit Network,RCN
bibox-token,Bibox Token,BIX
adx-net,AdEx,ADX
cloakcoin,CloakCoin,CLOAK
crypterium,Crypterium,CRPT
dropil,Dropil,DROP
einsteinium,Einsteinium,EMC2
minexcoin,MinexCoin,MNX
telcoin,Telcoin,TEL
internet-node-token,Internet Node Token,INT
eidoo,Eidoo,EDO
c20,CRYPTO20,C20
quantum-resistant-ledger,Quantum Resistant Ledger,QRL
iht-real-estate-protocol,IHT Real Estate Protocol,IHT
peercoin,Peercoin,PPC
oyster,Oyster,PRL
ion,ION,ION
district0x,district0x,DNT
wepower,WePower,WPR
salus,SaluS,SLS
singulardtv,SingularDTV,SNGLS
wabi,WaBi,WABI
vibe,VIBE,VIBE
edgeless,Edgeless,EDG
appcoins,AppCoins,APPC
pura,Pura,PURA
medishares,MediShares,MDS
viacoin,Viacoin,VIA
utrust,UTRUST,UTK
bread,Bread,BRD
wings,Wings,WINGS
counterparty,Counterparty,XCP
tomochain,TomoChain,TOMO
ins-ecosystem,INS Ecosystem,INS
spankchain,SpankChain,SPANK
triggers,Triggers,TRIG
envion,Envion,EVN
zclassic,ZClassic,ZCL
asch,Asch,XAS
modum,Modum,MOD
tierion,Tierion,TNT
mobius,Mobius,MOBI
feathercoin,Feathercoin,FTC
library-credit,LBRY Credits,LBC
origintrail,OriginTrail,TRAC
bottos,Bottos,BTO
burst,Burst,BURST
wagerr,Wagerr,WGR
taas,TaaS,TAAS
jibrel-network,Jibrel Network,JNT
gulden,Gulden,NLG
etherparty,Etherparty,FUEL
odyssey,Odyssey,OCN
qlink,QLINK,QLC
bridgecoin,BridgeCoin,BCO
mobilego,MobileGo,MGO
metaverse,Metaverse ETP,ETP
delphy,Delphy,DPY
electrifyasia,Electrify.Asia,ELEC
datum,Datum,DAT
decent,DECENT,DCT
trinity-network-credit,Trinity Network Credit,TNC
adtoken,adToken,ADT
electra,Electra,ECA
coss,COSS,COSS
blockmason,BlockMason Credit Protocol,BCPT
casinocoin,CasinoCoin,CSC
melon,Melon,MLN
kickico,KickCoin,KICK
soarcoin,Soarcoin,SOAR
rock,Rock,RKT
presearch,Presearch,PRE
steem-dollars,Steem Dollars,SBD
blox,Blox,CDT
babb,BABB,BAX
